지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
119,수원,2023/05/19,27
119,수원,2023/05/20,33
119,수원,2023/05/21,57
119,수원,2023/05/22,116
119,수원,2023/05/23,59
119,수원,2023/05/24,41
119,수원,2023/05/25,36
119,수원,2023/05/26,33
119,수원,2023/05/27,42
119,수원,2023/05/28,19
119,수원,2023/05/29,18
119,수원,2023/05/30,38
119,수원,2023/05/31,26
119,수원,2023/06/01,43
119,수원,2023/06/02,35
119,수원,2023/06/03,34
119,수원,2023/06/04,40
119,수원,2023/06/05,34
119,수원,2023/06/06,23
119,수원,2023/06/07,31
119,수원,2023/06/08,22
119,수원,2023/06/09,32
119,수원,2023/06/10,38
119,수원,2023/06/11,33
119,수원,2023/06/12,35
119,수원,2023/06/13,29
119,수원,2023/06/14,34
119,수원,2023/06/15,35
119,수원,2023/06/16,38
119,수원,2023/06/17,26
119,수원,2023/06/18,29
119,수원,2023/06/19,44
119,수원,2023/06/20,36
119,수원,2023/06/21,17
119,수원,2023/06/22,27
119,수원,2023/06/23,44
